J1 [rad],J2 [rad],J3 [rad],J4 [rad],J5 [rad],J6 [rad],,Electrical Power [W],,J1 [W], J2 [W],J3 [W],J4 [W],J5 [W],J6 [W]
-2.071356756,-0.0426267,0.602212419,2.27E-07,2.130383792,5.782624878,,221.0279255,,1.090551696,184.7096099,35.16223014,0.065243401,0.000290392,0
-2.077971554,-0.047308371,0.607127965,2.27E-07,2.130610684,5.77601008,,227.1401083,,2.542865243,188.4715359,36.05833576,0.065982851,0.001388537,0
-2.084533992,-0.05207696,0.612161843,2.27E-07,2.130872484,5.769447642,,235.0978362,,0.845465979,197.4002201,36.78648056,0.065125321,0.000544297,0
-2.09104407,-0.056921296,0.61730114,2.27E-07,2.13116919,5.762937564,,242.2430676,,0.867470117,203.7526377,37.55727314,0.065129141,0.000557589,0
-2.097501788,-0.061842077,0.622546552,2.27E-07,2.131500802,5.756479846,,249.531607,,0.974363389,210.1337263,38.35794005,0.065184217,0.00039301,0
-2.103907147,-0.0668407,0.627901222,2.27E-07,2.131849868,5.750074487,,256.0262715,,2.194708679,214.4076946,39.35608844,0.06584725,0.001932533,0
-2.110277599,-0.071929207,0.63338592,2.27E-07,2.132251294,5.743704035,,265.1345962,,0.760848608,224.1956686,40.11238743,0.065067783,0.000623805,0
-2.11659569,-0.077096778,0.638982842,2.27E-07,2.132687626,5.737385943,,272.989277,,0.612737965,231.3656234,40.94512046,0.064981684,0.000813529,0
-2.122861422,-0.082344111,0.644696177,2.27E-07,2.133141412,5.731120211,,281.101103,,0.727804506,238.4987605,41.80877392,0.065032033,0.00073202,0
-2.129092248,-0.087672252,0.650528718,2.27E-07,2.133647557,5.724889386,,288.5369602,,2.226306697,243.3010902,42.94126428,0.065881066,0.002417975,0
-2.13525326,-0.093094641,0.65649914,2.27E-07,2.134206063,5.718728374,,305.8448828,,4.134610088,257.8892394,43.74706214,0.067024631,0.006946591,0
-2.141361913,-0.09858597,0.662578646,3.04E-07,2.134782021,5.712619721,,331.1884276,,12.38484041,274.107759,44.60150629,0.071918324,0.022403556,0
-2.147383298,-0.104114824,0.668732328,3.04E-07,2.13541034,5.706598335,,357.1690937,,21.44358325,290.4027375,45.20312539,0.077678659,0.041968821,0
-2.153265058,-0.109643678,0.674919171,3.04E-07,2.136073565,5.700716576,,392.010941,,36.95575827,309.1448309,45.74994789,0.088549992,0.071853955,0
-2.158937378,-0.115121394,0.681086292,3.04E-07,2.136754243,5.695044256,,404.9052547,,39.12187259,320.3880542,45.21263755,0.091007818,0.091682546,0
-2.164400259,-0.120507305,0.687182552,3.04E-07,2.137469828,5.689581375,,420.4720277,,45.69459919,329.9971762,44.56831032,0.097236935,0.114705019,0
-2.169636246,-0.125758652,0.693156465,3.04E-07,2.138202867,5.684345388,,427.5470712,,49.40163923,334.3955561,43.51505498,0.102061971,0.132758917,0
-2.174575528,-0.130839655,0.69896527,3.04E-07,2.138918452,5.679406106,,435.6953928,,55.48298319,337.6427396,42.30485152,0.110067012,0.154751493,0
-2.179218104,-0.135707901,0.704561319,3.04E-07,2.13965149,5.67476353,,406.4901509,,44.36653645,321.5946664,40.28963766,0.102312696,0.136997697,0
-2.18359888,-0.140383289,0.709959274,3.04E-07,2.140367075,5.670382754,,394.232053,,41.73594962,313.6167387,38.64075728,0.102083339,0.136524077,0
-2.187717857,-0.144857965,0.715149534,3.04E-07,2.14108266,5.666263776,,381.7077513,,39.58028077,304.9222904,36.9667225,0.102363104,0.136094609,0
-2.191592488,-0.149123026,0.720116217,3.04E-07,2.141780792,5.662389146,,379.9322959,,42.78191842,301.6515174,35.23791999,0.109093036,0.151847118,0
-2.19515296,-0.153137283,0.724811153,3.04E-07,2.14246147,5.658828674,,348.335923,,33.83052891,281.260042,33.01427928,0.101585039,0.129487774,0
-2.198486539,-0.156927615,0.729261219,3.04E-07,2.143124695,5.655495095,,331.9226807,,31.50956974,269.0835263,31.10289588,0.10154088,0.125147963,0
-2.201558318,-0.160487214,0.733454372,3.04E-07,2.143770467,5.652423316,,314.9263927,,29.32635649,256.241029,29.13583617,0.10170377,0.12146721,0
-2.204403205,-0.163808226,0.737379269,3.04E-07,2.144363879,5.649578429,,306.151317,,30.95583108,247.901072,27.05458605,0.108213146,0.131614687,0
-2.206968839,-0.166846321,0.740981105,3.04E-07,2.144939838,5.647012795,,273.1450695,,24.04260664,224.2227089,24.67131831,0.101078476,0.107357085,0
-2.209290127,-0.169634833,0.744296707,3.04E-07,2.145463436,5.644691507,,252.9197948,,21.79231876,208.382118,22.54433341,0.101041275,0.099983421,0
